All device pins and their pinmux options
Pin,Name, Selected Mode, Used By,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
56,GPIO61,GPIO61,CC_A,GPIO61,EPWM17_B,EMIF1_D23,ESC_LATCH1,GPIO61,OUTPUTXBAR4,SPIB_POCI,SD2_C3,GPIO61,EMIF1_D6,ESC_LED_RUN,,GPIO61,,CANA_RX,SPIA_PTE
57,GPIO62,GPIO62,CC_B,GPIO62,SCIA_RX,EMIF1_D22,ESC_MDIO_CLK,GPIO62,EQEP3_A,CANA_RX,SD2_D4,GPIO62,EMIF1_D7,ESC_LED_STATE_RUN,,GPIO62,,CANA_TX,
58,GPIO63,GPIO63,CC_C,GPIO63,SCIA_TX,EMIF1_D21,EPWM9_A,GPIO63,EQEP3_B,CANA_TX,SD2_C4,GPIO63,EMIF1_RNW,EMIF1_BA0,,GPIO63,SD1_D1,ESC_RX1_DATA0,SPIB_PICO
59,GPIO64,GPIO64,CC_D,GPIO64,,EMIF1_D20,EPWM9_B,GPIO64,EQEP3_STROBE,SCIA_RX,,GPIO64,EMIF1_WAIT,EMIF1_BA1,,GPIO64,SD1_C1,ESC_RX1_DATA1,SPIB_POCI
60,GPIO65,GPIO65,LED_GPIO,GPIO65,,EMIF1_D19,EPWM10_A,GPIO65,EQEP3_INDEX,SCIA_TX,,GPIO65,EMIF1_WEn,,FSITXB_CLK,GPIO65,SD1_D2,ESC_RX1_DATA2,SPIB_CLK
61,GPIO66,GPIO66,PFC,GPIO66,EQEP6_B,EMIF1_D18,EPWM10_B,GPIO66,,I2CB_SDA,,GPIO66,EMIF1_OEn,,FSITXB_D1,GPIO66,SD1_C2,ESC_RX1_DATA3,SPIB_PTE
62,VDDIO,VDDIO,VDDIO
63,VDD,VDD,VDD
64,VREGENZ,VREGENZ,VREGENZ
65,VDDOSC,VDDOSC,VDDOSC
66,GPIO221/ X2,,,GPIO221,,EPWM6_B,SPID_PTE,GPIO221,OUTPUTXBAR3,SCIB_RX,MCANA_RX,GPIO221,,,,GPIO221,,,PMBUSA_CTL
67,VSSOSC,VSSOSC,VSSOSC
68,GPIO220/ X1,,,GPIO220,,EPWM6_A,SPID_POCI,GPIO220,OUTPUTXBAR2,SCIB_TX,MCANA_TX,GPIO220,,,,GPIO220,,,PMBUSA_ALERT
69,XRSn,XRSn,XRSn
70,VDDIO,VDDIO,VDDIO
71,GPIO46,EPWM4_A,PWM4,GPIO46,EPWM4_A,EMIF1_A6,EPWM14_A,GPIO46,,SCIA_RX,SD3_C4,GPIO46,,,,GPIO46,,ESC_MDIO_CLK,
72,GPIO47,EPWM4_B,PWM4,GPIO47,EPWM4_B,EMIF1_A7,EPWM14_B,GPIO47,,SCIA_TX,SD4_C3,GPIO47,,,,GPIO47,,ESC_MDIO_DATA,
73,GPIO42,SCIA_TX,mySCI1,GPIO42,,,EPWM14_A,GPIO42,EQEP4_A,I2CA_SDA,SD4_C4,GPIO42,,CLB_OUTPUTXBAR5,UARTA_TX,GPIO42,,FSIRXD_D0,SCIA_TX
74,GPIO43,SCIA_RX,mySCI1,GPIO43,,,EPWM14_B,GPIO43,EQEP4_B,I2CA_SCL,SD4_D4,GPIO43,,CLB_OUTPUTXBAR6,UARTA_RX,GPIO43,,FSIRXD_D1,SCIA_RX
75,GPIO69,GPIO69,FAN_TACH,GPIO69,,EMIF1_D15,EPWM11_A,GPIO69,,I2CB_SCL,,GPIO69,,,FSITXB_D0,GPIO69,SD1_D4,ESC_RX1_CLK,SPIC_PICO
76,GPIO70,UARTB_TX,myUART0,GPIO70,,EMIF1_D14,EPWM11_B,GPIO70,CANA_RX,SCIB_TX,UARTB_TX,GPIO70,MCANA_RX,,FSIRXB_D0,GPIO70,SD1_C4,ESC_RX1_DV,SPIC_POCI
